row_id,boomer,topic,boomer_style,gen_alpha_style,sentence_type
19811,Eating whole foods is beneficial for your health!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19812,You have to take your health seriously!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19813,It's concerning when you skip meals regularly.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19814,It's vital to maintain a healthy work-life balance.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19815,You need to keep your weight in check!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19816,Don't hesitate to reach out for help if you need it.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19817,Exercise is crucial for maintaining good health.,health and medicine,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions
19818,I worry about your eating habits.,health and medicine,passive-aggressive,main character vibes,exclamations or reactions
19819,You need to lighten up.,health and medicine,using outdated idioms,extremely overdramatic,exclamations or reactions
19820,I always prioritized a balanced diet; it was just common sense.,health and medicine,nostalgic for the good old days,villain arc mentality,exclamations or reactions
19821,I used to get fresh air every day; it kept me feeling great.,health and medicine,nostalgic for the good old days,villain arc mentality,exclamations or reactions
19822,I worry when you don’t sleep enough.,health and medicine,worried and concerned parent,main character vibes,exclamations or reactions
19823,You must be cautious about your alcohol consumption!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19824,You need to educate yourself about health issues!,health and medicine,overly literal and pedantic,doomer and nihilistic,exclamations or reactions
19825,You must take the prescribed medication regularly.,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions
19826,You can't ignore your symptoms!,health and medicine,worried and concerned parent,low effort minimal energy,exclamations or reactions
19827,You can't put off until tomorrow what you can do today.,health and medicine,using outdated idioms,extremely overdramatic,exclamations or reactions
19828,You ought to be more cautious about your mental well-being.,health and medicine,passive-aggressive,main character vibes,exclamations or reactions
